sample_index,layout,rig_id,camera_index,camera_name,camera_role,mount_wall,valid_depth_fraction,far_no_hit_fraction,raw_mb,width,height
36,C1_standard_cath,4CamAsym,1,DepthCam_1,head_wall_anesthesia_axis,plus_x_wall,0.9588411458333334,0.04115885416666665,1.2288,640,480
36,C1_standard_cath,4CamAsym,2,DepthCam_2,minusZ_high_side_clear_tv,minus_z_wall,0.9933170572916666,0.0066829427083333615,1.2288,640,480
36,C1_standard_cath,4CamAsym,3,DepthCam_3,plusZ_high_side,plus_z_wall,0.9931184895833334,0.006881510416666625,1.2288,640,480
9,N1_mirrored_head,4CamAsym,0,DepthCam_0,foot_wall_robot_axis,minus_x_wall,0.964501953125,0.03549804687500002,1.2288,640,480
9,N1_mirrored_head,4CamAsym,1,DepthCam_1,head_wall_anesthesia_axis,plus_x_wall,0.9593326822916667,0.04066731770833332,1.2288,640,480
9,N1_mirrored_head,4CamAsym,2,DepthCam_2,minusZ_high_side_clear_tv,minus_z_wall,0.9917610677083334,0.008238932291666612,1.2288,640,480
9,N1_mirrored_head,4CamAsym,3,DepthCam_3,plusZ_high_side,plus_z_wall,0.9942252604166667,0.005774739583333299,1.2288,640,480
21,N1_mirrored_head,4CamAsym,0,DepthCam_0,foot_wall_robot_axis,minus_x_wall,0.9649772135416667,0.035022786458333344,1.2288,640,480
21,N1_mirrored_head,4CamAsym,1,DepthCam_1,head_wall_anesthesia_axis,plus_x_wall,0.9573470052083334,0.04265299479166662,1.2288,640,480
21,N1_mirrored_head,4CamAsym,2,DepthCam_2,minusZ_high_side_clear_tv,minus_z_wall,0.9910774739583333,0.008922526041666656,1.2288,640,480
21,N1_mirrored_head,4CamAsym,3,DepthCam_3,plusZ_high_side,plus_z_wall,0.993662109375,0.006337890625000009,1.2288,640,480
3,N2_mirrored_support,4CamAsym,0,DepthCam_0,foot_wall_robot_axis,minus_x_wall,0.9629622395833334,0.03703776041666662,1.2288,640,480
3,N2_mirrored_support,4CamAsym,1,DepthCam_1,head_wall_anesthesia_axis,plus_x_wall,0.9567578125,0.04324218749999997,1.2288,640,480
3,N2_mirrored_support,4CamAsym,2,DepthCam_2,minusZ_high_side_clear_tv,minus_z_wall,0.991142578125,0.008857421875000049,1.2288,640,480
3,N2_mirrored_support,4CamAsym,3,DepthCam_3,plusZ_high_side,plus_z_wall,0.9934049479166667,0.00659505208333333,1.2288,640,480
27,N2_mirrored_support,4CamAsym,0,DepthCam_0,foot_wall_robot_axis,minus_x_wall,0.9645670572916667,0.035432942708333304,1.2288,640,480
27,N2_mirrored_support,4CamAsym,1,DepthCam_1,head_wall_anesthesia_axis,plus_x_wall,0.9600390625,0.03996093749999996,1.2288,640,480
27,N2_mirrored_support,4CamAsym,2,DepthCam_2,minusZ_high_side_clear_tv,minus_z_wall,0.9906380208333333,0.0093619791666667,1.2288,640,480
27,N2_mirrored_support,4CamAsym,3,DepthCam_3,plusZ_high_side,plus_z_wall,0.993603515625,0.006396484374999956,1.2288,640,480
36,C1_standard_cath,5Cam,0,DepthCam_0,foot_wall_robot_axis,minus_x_wall,0.9621028645833334,0.037897135416666616,1.2288,640,480
36,C1_standard_cath,5Cam,1,DepthCam_1,head_wall_anesthesia_axis,plus_x_wall,0.9588020833333334,0.04119791666666661,1.2288,640,480
36,C1_standard_cath,5Cam,2,DepthCam_2,minusZ_high_side_clear_tv,minus_z_wall,0.993525390625,0.0064746093749999956,1.2288,640,480
36,C1_standard_cath,5Cam,3,DepthCam_3,plusZ_high_side,plus_z_wall,0.9933984375,0.006601562499999991,1.2288,640,480
36,C1_standard_cath,5Cam,4,DepthCam_4,mid_oblique_head_minusZ,plus_x_minus_z_oblique,0.9749934895833333,0.025006510416666683,1.2288,640,480
9,N1_mirrored_head,5Cam,0,DepthCam_0,foot_wall_robot_axis,minus_x_wall,0.9645475260416667,0.035452473958333286,1.2288,640,480
9,N1_mirrored_head,5Cam,1,DepthCam_1,head_wall_anesthesia_axis,plus_x_wall,0.9591959635416667,0.040804036458333304,1.2288,640,480
9,N1_mirrored_head,5Cam,2,DepthCam_2,minusZ_high_side_clear_tv,minus_z_wall,0.9914225260416667,0.008577473958333304,1.2288,640,480
9,N1_mirrored_head,5Cam,3,DepthCam_3,plusZ_high_side,plus_z_wall,0.9938704427083334,0.006129557291666643,1.2288,640,480
9,N1_mirrored_head,5Cam,4,DepthCam_4,mid_oblique_head_minusZ,plus_x_minus_z_oblique,0.9687662760416667,0.031233723958333348,1.2288,640,480
21,N1_mirrored_head,5Cam,0,DepthCam_0,foot_wall_robot_axis,minus_x_wall,0.965234375,0.03476562500000002,1.2288,640,480
21,N1_mirrored_head,5Cam,1,DepthCam_1,head_wall_anesthesia_axis,plus_x_wall,0.9573046875,0.04269531250000003,1.2288,640,480
21,N1_mirrored_head,5Cam,2,DepthCam_2,minusZ_high_side_clear_tv,minus_z_wall,0.9910091145833333,0.008990885416666705,1.2288,640,480
21,N1_mirrored_head,5Cam,3,DepthCam_3,plusZ_high_side,plus_z_wall,0.9936360677083333,0.006363932291666652,1.2288,640,480
21,N1_mirrored_head,5Cam,4,DepthCam_4,mid_oblique_head_minusZ,plus_x_minus_z_oblique,0.969697265625,0.030302734374999973,1.2288,640,480
3,N2_mirrored_support,5Cam,0,DepthCam_0,foot_wall_robot_axis,minus_x_wall,0.9625618489583333,0.0374381510416667,1.2288,640,480
3,N2_mirrored_support,5Cam,1,DepthCam_1,head_wall_anesthesia_axis,plus_x_wall,0.957177734375,0.04282226562500002,1.2288,640,480
3,N2_mirrored_support,5Cam,2,DepthCam_2,minusZ_high_side_clear_tv,minus_z_wall,0.9910970052083333,0.008902994791666674,1.2288,640,480
3,N2_mirrored_support,5Cam,3,DepthCam_3,plusZ_high_side,plus_z_wall,0.9935221354166667,0.006477864583333326,1.2288,640,480
3,N2_mirrored_support,5Cam,4,DepthCam_4,mid_oblique_head_minusZ,plus_x_minus_z_oblique,0.9642447916666667,0.035755208333333344,1.2288,640,480
27,N2_mirrored_support,5Cam,0,DepthCam_0,foot_wall_robot_axis,minus_x_wall,0.9646549479166666,0.035345052083333384,1.2288,640,480
27,N2_mirrored_support,5Cam,1,DepthCam_1,head_wall_anesthesia_axis,plus_x_wall,0.960087890625,0.039912109375000004,1.2288,640,480
27,N2_mirrored_support,5Cam,2,DepthCam_2,minusZ_high_side_clear_tv,minus_z_wall,0.9907584635416666,0.009241536458333366,1.2288,640,480
27,N2_mirrored_support,5Cam,3,DepthCam_3,plusZ_high_side,plus_z_wall,0.9936100260416667,0.006389973958333295,1.2288,640,480
27,N2_mirrored_support,5Cam,4,DepthCam_4,mid_oblique_head_minusZ,plus_x_minus_z_oblique,0.9667122395833333,0.0332877604166667,1.2288,640,480
