sample_index,layout,rig_id,semantic_id,priority,object_id,semantic_zone,object_region_recall,object_region_precision,object_region_f2,object_presence_success,object_target_surface_voxels,object_prediction_voxels,object_visible_surface_recall,object_visible_1plus,object_visible_2plus,object_visible_3plus,object_mean_view_diversity_deg
21,N1_mirrored_head,4CamClassic,medical_trolley,P2,Prop_02_medical_trolley,operator_peripheral_equipment,0.0096051227321238,1.0,0.011977641735427204,0,937,1,1.0,1.0,0.9989327641408752,0.8377801494130203,95.48419321494781
21,N1_mirrored_head,4CamClassic,doctor_anesthesia,P2,Prop_03_doctor_anesthesia,head_anesthesia_corner,0.0,0.0,0.0,0,885,370,0.9988700564971752,0.9988700564971752,0.7220338983050848,0.0,91.51316852027526
21,N1_mirrored_head,4CamClassic,anesthesia_machine,P2,Prop_04_anesthesia_machine,head_anesthesia_corner,0.0,1.0,0.0,0,992,0,1.0,1.0,0.9818548387096774,0.0,97.11079298855613
21,N1_mirrored_head,4CamClassic,radiation_shield,P1,Prop_05_radiation_shield,operator_lane,0.0,1.0,0.0,0,917,0,0.8702290076335878,0.8702290076335878,0.5038167938931297,0.20283533260632497,111.50847680714995
21,N1_mirrored_head,4CamClassic,uhd_tv,P3,Prop_06_uhd_tv,screen_side,0.0,0.0,0.0,0,1584,13,0.7007575757575758,0.7007575757575758,0.43497474747474746,0.24621212121212122,91.11565867168
21,N1_mirrored_head,4CamClassic,waste_bin,P3,Prop_07_waste_bin,waste_corner,0.0,1.0,0.0,0,260,0,0.4807692307692308,0.4807692307692308,0.019230769230769232,0.0,99.69764558400917
21,N1_mirrored_head,4CamClassic,doctor_ultrasound,P2,Prop_08_doctor_ultrasound,peripheral_support,0.0,1.0,0.0,0,912,0,1.0,1.0,0.8760964912280702,0.0,118.54004062572731
21,N1_mirrored_head,4CamClassic,ultrasound,P2,Prop_09_ultrasound,peripheral_support,0.0,1.0,0.0,0,881,0,0.8842224744608399,0.8842224744608399,0.6640181611804767,0.0510783200908059,112.02954050721794
21,N1_mirrored_head,4CamClassic,ceiling_lamp,P3,Prop_10_ceiling_lamp,ceiling_over_table,0.0,1.0,0.0,0,291,0,1.0,1.0,1.0,0.9347079037800687,106.13836529026425
3,N2_mirrored_support,4CamClassic,patient,P1,Prop_00_patient,table_patient,0.5179282868525896,0.6443850267379679,0.5390868045040332,1,753,374,0.50066401062417,0.50066401062417,0.034528552456839307,0.0026560424966799467,101.74350891094599
3,N2_mirrored_support,4CamClassic,doctor_operator,P1,Prop_01_doctor_operator,operator_lane,0.1971252566735113,0.6089965397923875,0.2279595889819532,1,974,289,0.8018480492813141,0.8018480492813141,0.35523613963039014,0.053388090349075976,117.73312761873103
3,N2_mirrored_support,4CamClassic,medical_trolley,P2,Prop_02_medical_trolley,operator_peripheral_equipment,0.0,1.0,0.0,0,867,0,1.0,1.0,0.9953863898500577,0.8777393310265282,95.06616092294267
3,N2_mirrored_support,4CamClassic,doctor_anesthesia,P2,Prop_03_doctor_anesthesia,head_anesthesia_corner,0.2858837485172005,0.22193877551020408,0.27030755267690465,1,843,1176,0.9561091340450771,0.9561091340450771,0.6559905100830368,0.0011862396204033216,92.40677022036907
3,N2_mirrored_support,4CamClassic,anesthesia_machine,P2,Prop_04_anesthesia_machine,head_anesthesia_corner,0.0,1.0,0.0,0,1103,0,0.9981867633726201,0.9981867633726201,0.9383499546690843,0.025385312783318223,101.26751987809791
