Rig,F-Score@10cm (%),Visible-GT Recall@10cm (%),Surface Precision@10cm (%),Median GT Error (cm),P95 GT Error (cm),Strict Voxel Recall (%),Strict Voxel Precision (%),Strict Voxel F2 (%)
4CamClassic,4.149933065595715,4.057971014492753,4.246159866940612,57.00877210445378,151.0546097475305,6.129469404774315,4.246159866940612,5.630047676879493
3Cam,5.002356719052557,4.875379939209727,5.674091441969519,52.44044318993106,133.44942313523785,5.754195767747316,5.674091441969519,5.644837104524633
4CamAsym,5.210747541792948,5.153933865450399,5.268827734795808,51.23475459325532,143.48343081320326,6.21286354633587,5.268827734795808,5.997929209740168
5Cam,5.1706812130611635,5.352907961603614,5.131761442441054,47.434165609349826,130.86252523302755,6.556864380277286,5.131761442441054,6.172614100507114
