sample_index,sample_name,layout,rig_id,strict_roi_surface_recall,strict_roi_surface_precision,strict_roi_surface_f2,strict_roi_false_empty_rate,strict_roi_overfill_ratio,strict_roi_surface_iou_weighted,strict_roi_surface_iou_unweighted,strict_roi_filled_iou_weighted,strict_roi_filled_iou_unweighted,strict_roi_robert_loss,strict_roi_robert_coverage,strict_roi_robert_overfill,strict_roi_gt_surface_voxels,strict_roi_reconstruction_voxels,visible_gt_surface_voxels,distance_gt_surface_voxels,distance_reconstruction_voxels,gt_to_reconstruction_median_cm,gt_to_reconstruction_p95_cm,reconstruction_to_gt_median_cm,reconstruction_to_gt_p95_cm,visible_gt_recall_at_5cm,surface_precision_at_5cm,surface_f1_at_5cm,surface_f2_at_5cm,visible_gt_recall_at_10cm,surface_precision_at_10cm,surface_f1_at_10cm,surface_f2_at_10cm,visible_gt_recall_at_15cm,surface_precision_at_15cm,surface_f1_at_15cm,surface_f2_at_15cm,free_volume_voxels_total,certified_free_volume_fraction,single_view_certified_free_volume_fraction,redundantly_certified_free_volume_fraction,unknown_free_volume_fraction,roi_certified_free_volume_fraction,roi_single_view_certified_free_volume_fraction,roi_redundantly_certified_free_volume_fraction,roi_unknown_free_volume_fraction,roi_visible_1plus,roi_visible_2plus,roi_visible_3plus,visible_by_at_least_1_camera,visible_by_at_least_2_cameras,visible_by_at_least_3_cameras,redundant_coverage_fraction,single_view_risk_fraction,blind_surface_fraction,observable_surface_fraction,redundant_surface_fraction,strong_redundancy_fraction,single_view_surface_fraction,strict_missed_surface_fraction,strict_extra_surface_fraction,navigation_visibility_score,headline_threshold_cm,mean_view_diversity_deg,metric_scope,num_depth_cameras,raw_depth_mb_per_sample,reconstruction_voxels_total,gt_props_voxels_total,gt_surface_voxels_total,roi_x_min,roi_x_max,roi_y_min,roi_y_max,roi_z_min,roi_z_max
36,sample_0036,C1_standard_cath,4CamClassic,0.045972456157733085,0.02379480840543881,0.038749298287169956,0.954027543842267,0.9389676013078371,0.0074600606994329665,0.003802088614011964,0.009286411572769741,0.004798293939932468,10.096920366895514,0.09007745351373453,0.9976949022538939,10093,9708,9264,10093,9708,67.8233008418986,152.15124281425955,133.22912793001095,240.91751932410992,0.006692573402417962,0.0077255871446229914,0.00717207425641785,0.006876468458748289,0.019969775474956823,0.02379480840543881,0.02171513763845401,0.020633133756588987,0.032167530224525044,0.03368355995055624,0.03290809400112659,0.03245971964843332,544053,0.8798609694276109,0.29581125368300515,0.5840497157446057,0.12013903057238909,0.8798609694276109,0.29581125368300515,0.5840497157446057,0.12013903057238909,0.9178638660457743,0.6221143366689785,0.0896661052214406,0.9178638660457743,0.6221143366689785,0.0896661052214406,0.6221143366689785,0.2957495293767958,0.0821361339542257,0.9178638660457743,0.6221143366689785,0.0896661052214406,0.2957495293767958,0.954027543842267,0.9762051915945612,59.48395663920375,10.0,104.24609103553918,roi,4,4.9152,12704,32923,14657,-4.0,4.0,0.0,2.35,-2.0,2.0
9,sample_0009,N1_mirrored_head,4CamClassic,0.045571974785574045,0.026881162428645564,0.0400083169829752,0.9544280252144259,0.9688953187971479,0.004372832809395872,0.0023355997301084757,0.010663498161683571,0.005269546167737352,10.185901640538562,0.08380744729238299,1.023976113707597,9677,9635,8683,9677,9635,57.00877210445378,151.0546097475305,99.74968820268617,263.05893267920163,0.004606702752504895,0.00467047223663726,0.0046383683250980825,0.004619316956999292,0.03293792468041,0.026881162428645564,0.029602915931579276,0.031517637605970046,0.057583784406311185,0.04701608718214842,0.05176610997338674,0.05510655003509302,545008,0.8809045004843965,0.2797390130053137,0.6011654874790828,0.11909549951560344,0.8809045004843965,0.2797390130053137,0.6011654874790828,0.11909549951560344,0.8972822155626744,0.6605352898625607,0.10364782473907203,0.8972822155626744,0.6605352898625607,0.10364782473907203,0.6605352898625607,0.23674692570011366,0.10271778443732561,0.8972822155626744,0.6605352898625607,0.10364782473907203,0.23674692570011366,0.9544280252144259,0.9731188375713544,60.963863268254755,10.0,103.47852543851727,roi,4,4.9152,12497,32621,14178,-4.0,4.0,0.0,2.35,-2.0,2.0
21,sample_0021,N1_mirrored_head,4CamClassic,0.061294694047743147,0.042461598669406124,0.05630047676879493,0.9387053059522569,1.020223079328677,0.01295715668200836,0.006962443461909844,0.022207865652732466,0.011351351351351352,9.909578918112262,0.11984318576623798,1.1080107760067663,9593,10221,8970,9593,10221,62.449660140898445,126.98425288421573,86.31338379432997,252.43811498890776,0.013823857302118171,0.013403776538499168,0.013610576318334299,0.01373774778568984,0.04057971014492753,0.042461598669406124,0.04149933065595716,0.04094262372408068,0.061872909698996656,0.06506212699344487,0.06342745412433122,0.06248549285194405,545349,0.8875912489066634,0.30464894957174216,0.5829422993349213,0.11240875109333656,0.8875912489066634,0.30464894957174216,0.5829422993349213,0.11240875109333656,0.9350568122589388,0.6792452830188679,0.10413843427499218,0.9350568122589388,0.6792452830188679,0.10413843427499218,0.6792452830188679,0.2558115292400709,0.06494318774106118,0.9350568122589388,0.6792452830188679,0.10413843427499218,0.2558115292400709,0.9387053059522569,0.9575384013305939,62.17753681542945,10.0,104.58645159603286,roi,4,4.9152,13195,31651,13862,-4.0,4.0,0.0,2.35,-2.0,2.0
3,sample_0003,N2_mirrored_support,4CamClassic,0.1479408236705318,0.11394235113400199,0.13960940605394406,0.8520591763294683,0.9802079168332667,0.022230705642879423,0.01767688964018353,0.03761836454612723,0.0277073732718894,8.90875440651156,0.21123928266451797,1.0211472333631173,10004,11067,8903,10004,11067,43.58899008493329,197.46518152259273,100.74720989929982,275.14087001820684,0.0381893743681905,0.03307129303334237,0.035446538365237784,0.03704283180125324,0.12287992811411884,0.11394235113400199,0.11824248935490263,0.12098197583998187,0.183645962035269,0.18252462275232673,0.18308357543203238,0.18342059330039162,543760,0.8542169339414447,0.247267176695601,0.6069497572458438,0.14578306605855523,0.8542169339414447,0.247267176695601,0.6069497572458438,0.14578306605855523,0.8899440223910435,0.6424430227908836,0.10725709716113555,0.8899440223910435,0.6424430227908836,0.10725709716113555,0.6424430227908836,0.24750099960015995,0.11005597760895641,0.8899440223910435,0.6424430227908836,0.10725709716113555,0.24750099960015995,0.8520591763294683,0.886057648865998,60.07594388682662,10.0,102.58510042869706,roi,4,4.9152,14050,32786,14343,-4.0,4.0,0.0,2.35,-2.0,2.0
27,sample_0027,N2_mirrored_support,4CamClassic,0.08905826898004213,0.06258275222879336,0.08211089660917337,0.9109417310199579,1.0650887573964498,0.015251568386544656,0.011828416702294427,0.021625606735985157,0.01339184597961495,9.750466947884838,0.13904553106091844,1.1409222587220347,9971,11329,8961,9971,11329,46.097722973374026,124.19742533442803,97.08244064137907,240.83189516452074,0.02711750920656177,0.021978991967516993,0.024279347928147867,0.025906176713803606,0.07354089945318602,0.06258275222879336,0.06762075263619496,0.07105265647069894,0.11125990402856824,0.09462441521758319,0.10227008442814661,0.10748076303875916,544006,0.8696540111689944,0.24809101370205475,0.6215629974669397,0.13034598883100554,0.8696540111689944,0.24809101370205475,0.6215629974669397,0.13034598883100554,0.8987062481195467,0.6759602848259954,0.10039113428943937,0.8987062481195467,0.6759602848259954,0.10039113428943937,0.6759602848259954,0.22274596329355129,0.10129375188045331,0.8987062481195467,0.6759602848259954,0.10039113428943937,0.22274596329355129,0.9109417310199579,0.9374172477712066,61.66054269078359,10.0,101.88910383744957,roi,4,4.9152,14359,32947,14625,-4.0,4.0,0.0,2.35,-2.0,2.0
36,sample_0036,C1_standard_cath,3Cam,0.0563757059348063,0.05674091441969519,0.05644837104524633,0.9436242940651937,0.797186168631725,0.016615893820481106,0.009267288098851073,0.026281659847841827,0.013933614069853852,9.889327798623814,0.11017788995037847,0.9911066983440902,10093,8530,9696,10093,8530,72.4568848106389,236.10113708496277,104.16333483215293,229.45588153083435,0.016192244224422444,0.02004689331770223,0.017914565001104357,0.01683984266504953,0.040738448844884485,0.05674091441969519,0.047426178466609785,0.04317367669451599,0.06105610561056106,0.07936694021101993,0.06901767804792029,0.06400965319437531,544053,0.9022043808231919,0.3216745427375642,0.5805298380856276,0.09779561917680814,0.9022043808231919,0.3216745427375642,0.5805298380856276,0.09779561917680814,0.9606658079857326,0.4403051619934608,0.045972456157733085,0.9606658079857326,0.4403051619934608,0.045972456157733085,0.4403051619934608,0.5203606459922718,0.039334192014267313,0.9606658079857326,0.4403051619934608,0.045972456157733085,0.5203606459922718,0.9436242940651937,0.9432590855803048,53.27343733215678,10.0,101.16635449008604,roi,3,3.6864,10985,32923,14657,-4.0,4.0,0.0,2.35,-2.0,2.0
9,sample_0009,N1_mirrored_head,3Cam,0.03844166580551824,0.03363581367211131,0.037373682763437915,0.9615583341944818,0.8253590988942854,0.00642094160358686,0.003579818771674684,0.008988528287221359,0.004624348737552794,10.313885768911843,0.0730566497879429,1.0444522670395575,9677,8265,8152,9677,8265,55.000000819563866,169.55825210474651,81.54753336665337,250.04999872703505,0.007482826300294406,0.007743496672716273,0.007610930184726867,0.007533546861015708,0.035819430814524045,0.03363581367211131,0.03469329665811614,0.035360316643324285,0.06182531894013739,0.061222020568663035,0.06152219077514525,0.061703709926365126,545008,0.8969079352963627,0.27366937733024105,0.6232385579661216,0.10309206470363738,0.8969079352963627,0.27366937733024105,0.6232385579661216,0.10309206470363738,0.8424098377596363,0.4496228169887362,0.07264648134752506,0.8424098377596363,0.4496228169887362,0.07264648134752506,0.4496228169887362,0.39278702077090005,0.15759016224036376,0.8424098377596363,0.4496228169887362,0.07264648134752506,0.39278702077090005,0.9615583341944818,0.9663641863278887,52.35558269920444,10.0,99.07525700375479,roi,3,3.6864,10997,32621,14178,-4.0,4.0,0.0,2.35,-2.0,2.0
21,sample_0021,N1_mirrored_head,3Cam,0.05754195767747316,0.05136124456646077,0.05618960786977344,0.9424580423225268,0.8644845199624727,0.015118234966355174,0.008248556502612043,0.01790688495330312,0.009404683532399134,9.939682326272498,0.11278678979464951,1.067550224451823,9593,8742,8225,9593,8742,52.44044318993106,125.47907746184183,76.97402273870556,242.5901930290396,0.016778115501519756,0.017158544955387784,0.01696619792422257,0.016852845835051183,0.048753799392097265,0.05136124456646077,0.050023567190525565,0.049253891721919046,0.07440729483282675,0.07286662091054678,0.07362889915971862,0.0740939698953192,545349,0.8957291569251984,0.2924329191031798,0.6032962378220186,0.10427084307480164,0.8957291569251984,0.2924329191031798,0.6032962378220186,0.10427084307480164,0.8573960179297404,0.4781611591785677,0.0992390284582508,0.8573960179297404,0.4781611591785677,0.0992390284582508,0.4781611591785677,0.37923485875117274,0.14260398207025957,0.8573960179297404,0.4781611591785677,0.0992390284582508,0.37923485875117274,0.9424580423225268,0.9486387554335393,53.87507663559196,10.0,100.22698745607299,roi,3,3.6864,11300,31651,13862,-4.0,4.0,0.0,2.35,-2.0,2.0
3,sample_0003,N2_mirrored_support,3Cam,0.1132546981207517,0.09676798768757214,0.10952274137344026,0.8867453018792483,0.9386245501799281,0.02538827697083103,0.016138673042438732,0.03833479511640448,0.02398291948173496,9.286055618425,0.1815261799739556,1.1013174183796735,10004,10396,7389,10004,10396,36.40054998881305,116.72617703864307,92.0597645694072,257.00194934755535,0.04087156584111517,0.03116583301269719,0.03536486370243898,0.03847516179952148,0.10569765868182433,0.09676798768757214,0.10103590329854605,0.10378227003198616,0.16944106103667614,0.154482493266641,0.16161638894700642,0.1662219997748779,543760,0.9015484772693836,0.2941702221568339,0.6073782551125496,0.09845152273061644,0.9015484772693836,0.2941702221568339,0.6073782551125496,0.09845152273061644,0.7386045581767293,0.3583566573370652,0.06177528988404638,0.7386045581767293,0.3583566573370652,0.06177528988404638,0.3583566573370652,0.38024790083966414,0.2613954418232707,0.7386045581767293,0.3583566573370652,0.06177528988404638,0.38024790083966414,0.8867453018792483,0.9032320123124279,46.676238567394876,10.0,97.25687689133586,roi,3,3.6864,12934,32786,14343,-4.0,4.0,0.0,2.35,-2.0,2.0
27,sample_0027,N2_mirrored_support,3Cam,0.09286932103098987,0.07994806158412168,0.08996139674971723,0.9071306789690101,0.9948851669842543,0.021608561894899563,0.015015161889856207,0.02724787484151836,0.016086254612546126,9.711979826509902,0.14761669028861113,1.1881467296231265,9971,10782,8254,9971,10782,40.620192628467834,133.44942313523785,90.5538527307317,205.97330230970115,0.034407559970923186,0.028473381561862365,0.031160461652882582,0.03303076223670253,0.08916888781196995,0.07994806158412168,0.08430709943191257,0.08715840136034983,0.13629755270172036,0.11584121684288629,0.1252395606291832,0.1316480225302901,544006,0.9013117502380488,0.3128531670606574,0.5884585831773914,0.09868824976195116,0.9013117502380488,0.3128531670606574,0.5884585831773914,0.09868824976195116,0.8278006218032293,0.4064787884866112,0.07882860294855079,0.8278006218032293,0.4064787884866112,0.07882860294855079,0.4064787884866112,0.4213218333166182,0.17219937819677064,0.8278006218032293,0.4064787884866112,0.07882860294855079,0.4213218333166182,0.9071306789690101,0.9200519384158783,50.19933834210835,10.0,97.50221120870388,roi,3,3.6864,13451,32947,14625,-4.0,4.0,0.0,2.35,-2.0,2.0
