Rig,Samples,Free Volume Voxels (Median),Certified Free Volume (%),Single-View Certified Free Volume (%),Redundantly Certified Free Volume (%),Unknown Free Volume (%)
4CamClassic,5,544053.0,87.9860969427611,27.973901300531367,60.11654874790828,12.01390305723891
3Cam,5,544053.0,90.13117502380487,29.417022215683392,60.32962378220186,9.868824976195116
4CamAsym,5,544053.0,91.67490799733827,19.47530847178492,72.21082279421069,8.325092002661735
5Cam,5,544053.0,92.39534098582038,16.209986632413372,76.37916270131603,7.604659014179608
