Rig,F-Score@10cm (%),Visible-GT Recall@10cm (%),Surface Precision@10cm (%),Median GT Error (cm),P95 GT Error (cm),Strict Voxel Recall (%),Strict Voxel Precision (%),Strict Voxel F2 (%)
4CamClassic,3.3926211435068145,3.234316765149453,3.4440717410257187,56.336216615133324,147.80103792531384,5.816152468604072,3.4440717410257187,5.020673237496369
3Cam,5.62818194181194,5.050943208837945,6.576260657296731,56.12088383129124,142.68711519723874,6.297873048155786,6.576260657296731,6.413594858331241
4CamAsym,5.53483544059591,5.284668493292072,5.843323378839591,50.98930763163344,142.75467081942548,6.540915436658036,5.843323378839591,6.421184857387338
5Cam,5.703806324333136,5.593759496755461,5.915786214072083,48.73329744109614,131.17692723994833,6.833154140979736,5.915786214072083,6.637485321668596
