sample_index,layout,rig_id,camera_index,camera_name,camera_role,mount_wall,valid_depth_fraction,far_no_hit_fraction,raw_mb,width,height
32,C1_standard_cath,4CamClassic,2,DepthCam_FL,legacy_corner_front_left,corner_minusX_plusZ,0.966640625,0.03335937499999997,1.2288,640,480
32,C1_standard_cath,4CamClassic,3,DepthCam_FR,legacy_corner_front_right,corner_plusX_plusZ,0.9630305989583333,0.03696940104166668,1.2288,640,480
36,C1_standard_cath,4CamClassic,0,DepthCam_BL,legacy_corner_back_left,corner_minusX_minusZ,0.9671842447916666,0.03281575520833335,1.2288,640,480
36,C1_standard_cath,4CamClassic,1,DepthCam_BR,legacy_corner_back_right,corner_plusX_minusZ,0.970009765625,0.029990234375000036,1.2288,640,480
36,C1_standard_cath,4CamClassic,2,DepthCam_FL,legacy_corner_front_left,corner_minusX_plusZ,0.96431640625,0.035683593749999964,1.2288,640,480
36,C1_standard_cath,4CamClassic,3,DepthCam_FR,legacy_corner_front_right,corner_plusX_plusZ,0.9654752604166666,0.03452473958333335,1.2288,640,480
1,N1_mirrored_head,4CamClassic,0,DepthCam_BL,legacy_corner_back_left,corner_minusX_minusZ,0.9645638020833334,0.035436197916666634,1.2288,640,480
1,N1_mirrored_head,4CamClassic,1,DepthCam_BR,legacy_corner_back_right,corner_plusX_minusZ,0.9668522135416666,0.033147786458333384,1.2288,640,480
1,N1_mirrored_head,4CamClassic,2,DepthCam_FL,legacy_corner_front_left,corner_minusX_plusZ,0.9671484375,0.03285156249999999,1.2288,640,480
1,N1_mirrored_head,4CamClassic,3,DepthCam_FR,legacy_corner_front_right,corner_plusX_plusZ,0.968291015625,0.03170898437500003,1.2288,640,480
5,N1_mirrored_head,4CamClassic,0,DepthCam_BL,legacy_corner_back_left,corner_minusX_minusZ,0.9645345052083333,0.03546549479166672,1.2288,640,480
5,N1_mirrored_head,4CamClassic,1,DepthCam_BR,legacy_corner_back_right,corner_plusX_minusZ,0.9632096354166667,0.03679036458333329,1.2288,640,480
5,N1_mirrored_head,4CamClassic,2,DepthCam_FL,legacy_corner_front_left,corner_minusX_plusZ,0.9691634114583333,0.03083658854166671,1.2288,640,480
5,N1_mirrored_head,4CamClassic,3,DepthCam_FR,legacy_corner_front_right,corner_plusX_plusZ,0.9702408854166666,0.029759114583333357,1.2288,640,480
9,N1_mirrored_head,4CamClassic,0,DepthCam_BL,legacy_corner_back_left,corner_minusX_minusZ,0.9655989583333333,0.03440104166666669,1.2288,640,480
