Rig,Samples,Free Volume Voxels (Median),Certified Free Volume (%),Single-View Certified Free Volume (%),Redundantly Certified Free Volume (%),Unknown Free Volume (%)
4CamClassic,40,545233.5,87.74306730893335,28.32861279324106,59.33534503681215,12.256932691066643
3Cam,40,545233.5,89.99702266016001,31.548314803514348,59.101888599293,10.002977339839978
4CamAsym,40,545233.5,92.60911565828611,20.28752756452612,72.31447804876466,7.390884341713883
5Cam,40,545233.5,93.62133795337333,15.286209335146378,78.26190520495464,6.378662046626676
