sample_index,layout,rig_id,semantic_id,priority,object_id,semantic_zone,object_region_recall,object_region_precision,object_region_f2,object_presence_success,object_target_surface_voxels,object_prediction_voxels,object_visible_surface_recall,object_visible_1plus,object_visible_2plus,object_visible_3plus,object_mean_view_diversity_deg
8,C1_standard_cath,4CamClassic,medical_trolley,P2,Prop_02_medical_trolley,operator_peripheral_equipment,0.0,1.0,0.0,0,946,0,1.0,1.0,0.9978858350951374,0.9059196617336153,96.9612271773485
8,C1_standard_cath,4CamClassic,doctor_anesthesia,P2,Prop_03_doctor_anesthesia,head_anesthesia_corner,0.0,0.0,0.0,0,877,1,0.9977194982896237,0.9977194982896237,0.5849486887115165,0.0,90.05763670451041
8,C1_standard_cath,4CamClassic,anesthesia_machine,P2,Prop_04_anesthesia_machine,head_anesthesia_corner,0.0,1.0,0.0,0,965,0,0.9989637305699481,0.9989637305699481,0.9595854922279793,0.013471502590673576,94.58157603291518
8,C1_standard_cath,4CamClassic,radiation_shield,P1,Prop_05_radiation_shield,operator_lane,0.0,0.0,0.0,0,1004,1,0.8545816733067729,0.8545816733067729,0.48406374501992033,0.21414342629482072,98.53647997026181
8,C1_standard_cath,4CamClassic,uhd_tv,P3,Prop_06_uhd_tv,screen_side,0.0,0.0,0.0,0,1705,1,0.9853372434017595,0.9853372434017595,0.7653958944281525,0.4498533724340176,106.94348597072009
8,C1_standard_cath,4CamClassic,waste_bin,P3,Prop_07_waste_bin,waste_corner,0.0,1.0,0.0,0,314,0,0.2898089171974522,0.2898089171974522,0.022292993630573247,0.0,103.65110477067047
8,C1_standard_cath,4CamClassic,doctor_ultrasound,P2,Prop_08_doctor_ultrasound,peripheral_support,0.0,1.0,0.0,0,887,0,1.0,1.0,0.8511837655016911,0.0,103.55181637433927
8,C1_standard_cath,4CamClassic,ultrasound,P2,Prop_09_ultrasound,peripheral_support,0.0,1.0,0.0,0,1050,0,0.8847619047619047,0.8847619047619047,0.5295238095238095,0.04857142857142857,112.25768858990686
8,C1_standard_cath,4CamClassic,ceiling_lamp,P3,Prop_10_ceiling_lamp,ceiling_over_table,0.0,1.0,0.0,0,302,0,1.0,1.0,0.9966887417218543,0.9536423841059603,106.87197325721938
12,C1_standard_cath,4CamClassic,patient,P1,Prop_00_patient,table_patient,0.4315937940761636,0.6514285714285715,0.4628317597796494,1,709,175,0.4005641748942172,0.4005641748942172,0.014104372355430184,0.0,122.00724015849815
